Occupation,Hierarchy Levels,variable,value
 Cement masons and concrete finishers ,3,Transportation incidents,0
 Pile-driver operators ,3,Transportation incidents,0
" Drywall installers, ceiling tile installers, and tapers ",2,Transportation incidents,0
 Drywall and ceiling tile installers ,3,Transportation incidents,0
 Insulation workers ,2,Transportation incidents,0
" Insulation workers, floor, ceiling, and wall ",3,Transportation incidents,0
 Painters and paperhangers ,2,Transportation incidents,0
" Painters, construction and maintenance ",3,Transportation incidents,0
 Pipelayers ,3,Transportation incidents,0
 Reinforcing iron and rebar workers ,2,Transportation incidents,0
 Reinforcing iron and rebar workers ,3,Transportation incidents,0
 Sheet metal workers ,2,Transportation incidents,0
 Sheet metal workers ,3,Transportation incidents,0
 Structural iron and steel workers ,2,Transportation incidents,0
 Structural iron and steel workers ,3,Transportation incidents,0
 Solar photovoltaic installers ,2,Transportation incidents,0
 Solar photovoltaic installers ,3,Transportation incidents,0
" Helpers, construction trades ",1,Transportation incidents,0
" Helpers, construction trades ",2,Transportation incidents,0
 Helpers--roofers ,3,Transportation incidents,0
 Elevator installers and repairers ,2,Transportation incidents,0
 Elevator installers and repairers ,3,Transportation incidents,0
 Fence erectors ,2,Transportation incidents,0
 Fence erectors ,3,Transportation incidents,0
 Hazardous materials removal workers ,2,Transportation incidents,0
 Hazardous materials removal workers ,3,Transportation incidents,0
 Rail-track laying and maintenance equipment operators ,2,Transportation incidents,0
 Rail-track laying and maintenance equipment operators ,3,Transportation incidents,0
" Derrick operators, oil and gas ",3,Transportation incidents,0
" Rotary drill operators, oil and gas ",3,Transportation incidents,0
" Explosives workers, ordnance handling experts, and blasters ",2,Transportation incidents,0
" Explosives workers, ordnance handling experts, and blasters ",3,Transportation incidents,0
 Mining machine operators ,2,Transportation incidents,0
 Continuous mining machine operators ,3,Transportation incidents,0
 Mine cutting and channeling machine operators ,3,Transportation incidents,0
 Helpers--extraction workers ,2,Transportation incidents,0
 Helpers--extraction workers ,3,Transportation incidents,0
 Miscellaneous extraction workers ,2,Transportation incidents,0
" Radio, cellular, and tower equipment installers and repairers ",3,Transportation incidents,0
" Electrical and electronics repairers, powerhouse, substation, and relay ",3,Transportation incidents,0
 Automotive body and related repairers ,3,Transportation incidents,0
 Motorcycle mechanics ,3,Transportation incidents,0
 Outdoor power equipment and other small engine mechanics ,3,Transportation incidents,0
" Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers ",2,Transportation incidents,0
 Tire repairers and changers ,3,Transportation incidents,0
 Millwrights ,3,Transportation incidents,0
 Riggers ,3,Transportation incidents,0
" Helpers--installation, maintenance, and repair workers ",3,Transportation incidents,0
" Electrical, electronics, and electromechanical assemblers ",2,Transportation incidents,0
 Electrical and electronic equipment assemblers ,3,Transportation incidents,0
 Miscellaneous assemblers and fabricators ,2,Transportation incidents,0
 Food processing workers ,1,Transportation incidents,0
 Bakers ,2,Transportation incidents,0
 Bakers ,3,Transportation incidents,0
" Butchers and other meat, poultry, and fish processing workers ",2,Transportation incidents,0
 Miscellaneous food processing workers ,2,Transportation incidents,0
 Computer control programmers and operators ,2,Transportation incidents,0
" Computer-controlled machine tool operators, metal and plastic ",3,Transportation incidents,0
" Forming machine setters, operators, and tenders, metal and plastic ",2,Transportation incidents,0
" Rolling machine setters, operators, and tenders, metal and plastic ",3,Transportation incidents,0
" Cutting, punching, and press machine setters, operators, and tenders, metal and plastic ",3,Transportation incidents,0
 Machinists ,2,Transportation incidents,0
 Machinists ,3,Transportation incidents,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",2,Transportation incidents,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",3,Transportation incidents,0
" Textile, apparel, and furnishings workers ",1,Transportation incidents,0
 Laundry and dry-cleaning workers ,2,Transportation incidents,0
 Laundry and dry-cleaning workers ,3,Transportation incidents,0
" Miscellaneous textile, apparel, and furnishings workers ",2,Transportation incidents,0
 Woodworkers ,1,Transportation incidents,0
 Cabinetmakers and bench carpenters ,2,Transportation incidents,0
 Cabinetmakers and bench carpenters ,3,Transportation incidents,0
" Woodworking machine setters, operators, and tenders ",2,Transportation incidents,0
" Sawing machine setters, operators, and tenders, wood ",3,Transportation incidents,0
" Power plant operators, distributors, and dispatchers ",2,Transportation incidents,0
 Power plant operators ,3,Transportation incidents,0
 Stationary engineers and boiler operators ,2,Transportation incidents,0
 Stationary engineers and boiler operators ,3,Transportation incidents,0
 Water and wastewater treatment plant and system operators ,2,Transportation incidents,0
 Water and wastewater treatment plant and system operators ,3,Transportation incidents,0
" Crushing, grinding, polishing, mixing, and blending workers ",2,Transportation incidents,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",2,Transportation incidents,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",3,Transportation incidents,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",2,Transportation incidents,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",3,Transportation incidents,0
 Packaging and filling machine operators and tenders ,2,Transportation incidents,0
 Packaging and filling machine operators and tenders ,3,Transportation incidents,0
 Painting workers ,2,Transportation incidents,0
" Coating, painting, and spraying machine setters, operators, and tenders ",3,Transportation incidents,0
" Painters, transportation equipment ",3,Transportation incidents,0
" Painting, coating, and decorating workers ",3,Transportation incidents,0
 Cooling and freezing equipment operators and tenders ,3,Transportation incidents,0
" Molders, shapers, and casters, except metal and plastic ",3,Transportation incidents,0
 Helpers--production workers ,3,Transportation incidents,0
 Flight attendants ,2,Transportation incidents,0
 Flight attendants ,3,Transportation incidents,0
 Automotive and watercraft service attendants ,2,Transportation incidents,0
 Automotive and watercraft service attendants ,3,Transportation incidents,0
